sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
67,20,20,20,equilibrated_flux,1.0,100.0,0.6064453125,False,0.10679611650485436,11,610,0.4964312408727185,0.3090409914770831,0.00021911488622213812,0.0080765285702152,2.69440884130591e-14,1.2850698648497492e-13,0,0,0,0,0.0,0.0,0
67,40,40,40,baseline,1.0,100.0,0.984375,False,0.912621359223301,94,914,0.021524712323604693,0.33498543172375567,2.548035033703607e-06,9.392003483842663e-05,2.69440884130591e-14,1.2850698648497492e-13,0,0,0,0,0.0,0.0,0
67,40,40,40,equilibrated_flux,1.0,100.0,0.994140625,False,0.9611650485436893,99,919,0.007210465050452362,0.33498543172375567,2.548035033703607e-06,9.392003483842663e-05,2.69440884130591e-14,1.2850698648497492e-13,0,0,0,0,0.0,0.0,0
68,20,20,20,baseline,1.0,100.0,0.3330078125,False,0.1262135922330097,13,328,0.7956036859456435,0.32446143232917346,0.00014745674081374864,0.0049663408409942374,5.085333007143108e-14,1.4600913518002966e-13,0,0,0,0,0.0,0.0,0
68,20,20,20,equilibrated_flux,1.0,100.0,0.8193359375,False,0.5048543689320388,52,787,0.2581427115082934,0.32446143232917346,0.00014745674081374864,0.0049663408409942374,5.085333007143108e-14,1.4600913518002966e-13,0,0,0,0,0.0,0.0,0
68,40,40,40,baseline,1.0,100.0,0.9931640625,False,0.9611650485436893,99,918,0.009442695694943975,0.3301286188031938,1.1256855511429587e-06,3.79130726469914e-05,5.085333007143108e-14,1.4600913518002966e-13,0,0,0,0,0.0,0.0,0
68,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.003117304087550718,0.3301286188031938,1.1256855511429587e-06,3.79130726469914e-05,5.085333007143108e-14,1.4600913518002966e-13,0,0,0,0,0.0,0.0,0
69,20,20,20,baseline,1.0,100.0,0.5,False,0.14563106796116504,15,497,0.6975310821550799,0.30675301405687727,0.00016692662964465095,0.003287038056460611,5.103040444887792e-14,1.4971461839042273e-13,0,0,0,0,0.0,0.0,0
69,20,20,20,equilibrated_flux,1.0,100.0,0.912109375,False,0.6310679611650486,65,869,0.213969761849426,0.30675301405687727,0.00016692662964465095,0.003287038056460611,5.103040444887792e-14,1.4971461839042273e-13,0,0,0,0,0.0,0.0,0
69,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,0.009691174675135486,0.3282360056932838,2.149440607698956e-06,4.232573971367693e-05,5.103040444887792e-14,1.4971461839042273e-13,0,0,0,0,0.0,0.0,0
69,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,0.0031809924658423787,0.3282360056932838,2.149440607698956e-06,4.232573971367693e-05,5.103040444887792e-14,1.4971461839042273e-13,0,0,0,0,0.0,0.0,0
70,20,20,20,baseline,1.0,100.0,0.26171875,False,0.0,0,268,0.8338341576091177,0.3008927537579471,0.00016186668182445043,0.004094179125240402,3.382376164770919e-14,1.5344872136157884e-13,0,0,0,0,0.0,0.0,0
70,20,20,20,equilibrated_flux,1.0,100.0,0.8212890625,False,0.2912621359223301,30,811,0.2508946558604455,0.3008927537579471,0.00016186668182445043,0.004094179125240402,3.382376164770919e-14,1.5344872136157884e-13,0,0,0,0,0.0,0.0,0
70,40,40,40,baseline,1.0,100.0,0.9892578125,False,0.970873786407767,100,913,0.01312788751957922,0.3224724484092093,2.3048826781694458e-06,5.8298609946941916e-05,3.382376164770919e-14,1.5344872136157884e-13,0,0,0,0,0.0,0.0,0
70,40,40,40,equilibrated_flux,1.0,100.0,0.99609375,False,0.9805825242718447,101,919,0.004233382030879412,0.3224724484092093,2.3048826781694458e-06,5.8298609946941916e-05,3.382376164770919e-14,1.5344872136157884e-13,0,0,0,0,0.0,0.0,0
71,20,20,20,baseline,1.0,100.0,0.0,False,0.0,0,0,1.403851464376824,0.3347001396962802,0.00027285104027387365,0.011421318164691217,3.844433272427976e-14,1.3153715569292424e-13,0,0,0,0,0.0,0.0,0
71,20,20,20,equilibrated_flux,1.0,100.0,0.6884765625,False,0.08737864077669903,9,696,0.4698692812397504,0.3347001396962802,0.00027285104027387365,0.011421318164691217,3.844433272427976e-14,1.3153715569292424e-13,0,0,0,0,0.0,0.0,0
71,40,40,40,baseline,1.0,100.0,0.98828125,False,0.9514563106796117,98,914,0.015918086612442442,0.3350437806176365,1.8476332381582871e-06,7.734039439052457e-05,3.844433272427976e-14,1.3153715569292424e-13,0,0,0,0,0.0,0.0,0
71,40,40,40,equilibrated_flux,1.0,100.0,0.994140625,False,0.9805825242718447,101,917,0.005333255918831702,0.3350437806176365,1.8476332381582871e-06,7.734039439052457e-05,3.844433272427976e-14,1.3153715569292424e-13,0,0,0,0,0.0,0.0,0
72,20,20,20,baseline,1.0,100.0,0.3017578125,False,0.0,0,309,0.897186471870984,0.31733545408029223,0.00013897510387348767,0.005092152612186516,8.738537447513498e-14,1.6139037732659017e-13,0,0,0,0,0.0,0.0,0
72,20,20,20,equilibrated_flux,1.0,100.0,0.8310546875,False,0.36893203883495146,38,813,0.28470907644587407,0.31733545408029223,0.00013897510387348767,0.005092152612186516,8.738537447513498e-14,1.6139037732659017e-13,0,0,0,0,0.0,0.0,0
72,40,40,40,baseline,1.0,100.0,0.9931640625,False,0.970873786407767,100,917,0.009316379187802858,0.34538512831185597,1.1418015203014277e-06,4.1836468778485983e-05,8.738537447513498e-14,1.6139037732659017e-13,0,0,0,0,0.0,0.0,0
72,40,40,40,equilibrated_flux,1.0,100.0,0.9970703125,False,0.9805825242718447,101,920,0.0032177388211811946,0.34538512831185597,1.1418015203014277e-06,4.1836468778485983e-05,8.738537447513498e-14,1.6139037732659017e-13,0,0,0,0,0.0,0.0,0
73,20,20,20,baseline,1.0,100.0,0.0,False,0.0,0,0,1.6557209691657102,0.3236572059030688,0.0002980059565581326,0.014207516684662464,4.940616654913626e-14,1.3520916963406646e-13,0,0,0,0,0.0,0.0,0
73,20,20,20,equilibrated_flux,1.0,100.0,0.6708984375,False,0.17475728155339806,18,669,0.5358860226352947,0.3236572059030688,0.0002980059565581326,0.014207516684662464,4.940616654913626e-14,1.3520916963406646e-13,0,0,0,0,0.0,0.0,0
73,40,40,40,baseline,1.0,100.0,0.982421875,False,0.9223300970873787,95,911,0.023073569594881074,0.32591443566938955,2.4996799052766624e-06,0.00011917293322178875,4.940616654913626e-14,1.3520916963406646e-13,0,0,0,0,0.0,0.0,0
73,40,40,40,equilibrated_flux,1.0,100.0,0.9951171875,False,0.9805825242718447,101,918,0.007520009413394048,0.32591443566938955,2.4996799052766624e-06,0.00011917293322178875,4.940616654913626e-14,1.3520916963406646e-13,0,0,0,0,0.0,0.0,0
74,20,20,20,baseline,1.0,100.0,0.08203125,False,0.0,0,84,1.0508506137496856,0.30012063824748453,0.00021906851861316898,0.006553126903754992,5.195836848534353e-14,1.952450360854439e-13,0,0,0,0,0.0,0.0,0
74,20,20,20,equilibrated_flux,1.0,100.0,0.806640625,False,0.4174757281553398,43,783,0.3153819569013165,0.30012063824748453,0.00021906851861316898,0.006553126903754992,5.195836848534353e-14,1.952450360854439e-13,0,0,0,0,0.0,0.0,0
74,40,40,40,baseline,1.0,100.0,0.9921875,False,0.9611650485436893,99,917,0.00871226008350144,0.3694788754060978,1.7770739290930327e-06,5.315866948121178e-05,5.195836848534353e-14,1.952450360854439e-13,0,0,0,0,0.0,0.0,0
74,40,40,40,equilibrated_flux,1.0,100.0,0.9951171875,False,0.9805825242718447,101,918,0.0032189960578975483,0.3694788754060978,1.7770739290930327e-06,5.315866948121178e-05,5.195836848534353e-14,1.952450360854439e-13,0,0,0,0,0.0,0.0,0
75,20,20,20,baseline,1.0,100.0,0.0078125,False,0.0,0,8,1.244844906629072,0.3148561811088731,0.0002775066024834101,0.007100571529808846,8.565558414227704e-15,1.7073172248653891e-13,0,0,0,0,0.0,0.0,0
75,20,20,20,equilibrated_flux,1.0,100.0,0.7490234375,False,0.30097087378640774,31,736,0.39194711337406135,0.3148561811088731,0.0002775066024834101,0.007100571529808846,8.565558414227704e-15,1.7073172248653891e-13,0,0,0,0,0.0,0.0,0
75,40,40,40,baseline,1.0,100.0,0.9873046875,False,0.9611650485436893,99,912,0.013865548309870558,0.3425992634995251,2.453338814551184e-06,6.277366946826742e-05,8.565558414227704e-15,1.7073172248653891e-13,0,0,0,0,0.0,0.0,0
75,40,40,40,equilibrated_flux,1.0,100.0,0.9921875,False,0.9611650485436893,99,917,0.004750326638978737,0.3425992634995251,2.453338814551184e-06,6.277366946826742e-05,8.565558414227704e-15,1.7073172248653891e-13,0,0,0,0,0.0,0.0,0
76,20,20,20,baseline,1.0,100.0,0.0,False,0.0,0,0,1.4469039114896407,0.3115156958367509,0.00019976924617211064,0.006971100530005057,2.8268075609320513e-14,1.258947696171431e-13,0,0,0,0,0.0,0.0,0
76,20,20,20,equilibrated_flux,1.0,100.0,0.658203125,False,0.33980582524271846,35,639,0.4507332787966121,0.3115156958367509,0.00019976924617211064,0.006971100530005057,2.8268075609320513e-14,1.258947696171431e-13,0,0,0,0,0.0,0.0,0
76,40,40,40,baseline,1.0,100.0,0.9853515625,False,0.9320388349514563,96,913,0.018840087850020087,0.3247157213427855,2.0284621132382914e-06,7.078473580718166e-05,2.8268075609320513e-14,1.258947696171431e-13,0,0,0,0,0.0,0.0,0
76,40,40,40,equilibrated_flux,1.0,100.0,0.994140625,False,0.9611650485436893,99,919,0.006117672716380721,0.3247157213427855,2.0284621132382914e-06,7.078473580718166e-05,2.8268075609320513e-14,1.258947696171431e-13,0,0,0,0,0.0,0.0,0
77,20,20,20,baseline,1.0,100.0,0.4443359375,False,0.0,0,455,0.8771334995981718,0.3093944887677336,0.00028652245985092496,0.004342325482801192,1.2263020329434628e-14,1.468160763441955e-13,0,0,0,0,0.0,0.0,0
77,20,20,20,equilibrated_flux,1.0,100.0,0.8330078125,False,0.39805825242718446,41,812,0.2713802706892294,0.3093944887677336,0.00028652245985092496,0.004342325482801192,1.2263020329434628e-14,1.468160763441955e-13,0,0,0,0,0.0,0.0,0
