sample,seed,relative_l2_prediction_error,raw_spearman
179,1,0.04878770270704694,0.19025592768757596
179,2,0.0474253299533459,-0.0001324118446463057
180,0,0.02884750639061614,-0.03485622228381374
180,1,0.03616084770435796,-0.24023070372290964
180,2,0.031159517695243017,-0.07720453204348758
181,0,0.041152150435248454,-0.24604300032186538
181,1,0.04198260852697691,-0.18231360864745008
181,2,0.04172758599575642,-0.27157681630427005
182,0,0.04128637119855753,-0.08562086492382517
182,1,0.0408495449172298,-0.06910407427937915
182,2,0.03299088985833152,0.058928199431371134
183,0,0.029631400686713556,-0.06995043496531005
183,1,0.027806710002727775,-0.039786753004076955
183,2,0.026702189352055983,-0.08600067725842213
184,0,0.05130676896092368,-0.11532451407267005
184,1,0.045311552090962,-0.15261957075674126
184,2,0.04135974828445322,-0.2013652792182247
185,0,0.052018392211184206,-0.2786139336420857
185,1,0.04052809920252806,-0.055515129908447175
185,2,0.03357606492202266,-0.11632639832629996
186,0,0.04751230474054699,0.1735090815213504
186,1,0.04672291877138189,0.08563658938917101
186,2,0.05571003938139375,-0.05463949958872755
187,0,0.048374710727641664,-0.0577914781667978
187,1,0.04893184788923068,0.02113754827980831
187,2,0.04790787665080818,-0.1074109505757814
188,0,0.02680224105109735,0.09199258144982475
188,1,0.03341531952492863,-0.14654362393605605
188,2,0.027286974547470973,0.05808051999141691
189,0,0.021621926705894332,0.06481622380373363
189,1,0.036579764243453786,0.1702247693298047
189,2,0.032762962942148824,0.16465106662613546
190,0,0.054461351697928956,0.01534391540304699
190,1,0.059357735988855284,0.04327634378799799
190,2,0.036239997886628066,0.15428180432372504
191,0,0.04729899161155413,-0.013143909591588584
191,1,0.037648936295291806,-0.10743408465059723
191,2,0.03259534916326229,0.13606838074887345
192,0,0.0927490193198883,0.10223592509477147
192,1,0.11623683787015977,0.24646057596023171
192,2,0.09571940538308465,0.042044158143194336
193,0,0.03935317649202061,-0.22231389922037048
193,1,0.03570926444890721,-0.07837710553608468
193,2,0.03514594061869394,-0.18277897235533938
194,0,0.03353226823026098,-0.1762097109469995
194,1,0.03196976998854368,0.004917600225305772
194,2,0.033384108365573865,-0.037464427169015095
195,0,0.05618195388034736,0.17979253093484013
195,1,0.05329588189645157,0.03617103122094271
195,2,0.050437719388919396,0.3118589737858522
196,0,0.05385093740778769,-0.06501255051498461
196,1,0.04628121859124502,-0.05905378281238824
196,2,0.0456857663468283,0.1035050917316358
197,0,0.09354349248103813,-0.11868285530362632
197,1,0.0792906914975043,-0.04254050139475002
197,2,0.09581375289673381,-0.13730285744939558
198,0,0.0429651519876872,0.04412739834418138
198,1,0.05572691366724048,0.0824388344002575
198,2,0.04089985957024989,0.1743869246656176
199,0,0.0773984896775708,0.16947560528574493
199,1,0.09099770912523449,0.05910253200772475
199,2,0.08319199585515649,0.09172087341749517
