sample,method,spearman,auroc,error_capture_top10,top10_overlap,relative_l2_correction_error,relative_A_correction_error,iterations_executed
4,poisson_pcg40,0.9999999664723552,1.0,0.2654316368097789,1.0,4.4940702864412905e-05,7.48098356453243e-05,40.0
4,poisson_pcg80,1.0,1.0,0.2654316368097789,1.0,6.962881964967927e-09,1.0274433211128146e-08,80.0
4,cg20,0.5947214635040411,0.828110011279424,0.20266786883492707,0.46601941747572817,0.6010424968972502,0.29240470118716094,20.0
4,diagonal_pcg20,0.8804996066089691,0.9619872869295721,0.24779589288346346,0.6213592233009708,0.29378458258962065,0.13888858299900697,20.0
4,amg,0.9983038699842642,0.9990934294719753,0.2647834063673499,0.941747572815534,0.094874539341646,0.07537102138868322,
5,raw,-0.04021815320792504,0.4732508986643897,0.0956445430707336,0.07766990291262135,,,
5,prediction_magnitude,0.42366643793362413,0.7382857383806121,0.1341397240461101,0.18446601941747573,,,
5,boundary_distance,0.4881369730537223,0.7141403919336307,0.11108575052031944,0.11981465136804942,,,
5,ensemble,0.1143449592303841,0.5006166787894121,0.10954401156674431,0.0970873786407767,,,
5,poisson_pcg5,0.9800748784064085,0.9806563148962187,0.24762061647599626,0.8446601941747572,0.1269233580400586,0.1227641056356746,5.0
5,poisson_pcg10,0.9979973602567769,0.9948873638826519,0.2500900221598435,0.9320388349514563,0.04790855996460481,0.03960977130963907,10.0
5,poisson_pcg20,0.9999791122773763,0.9999789169644645,0.25123407339061404,0.9902912621359223,0.004248294575131392,0.0049764885886225225,20.0
5,poisson_pcg40,0.9999998994170659,1.0,0.25127819390061773,1.0,4.6836932023279e-05,8.422908543003304e-05,40.0
5,poisson_pcg80,1.0,1.0,0.25127819390061773,1.0,7.629511826011901e-09,1.1968528334114086e-08,80.0
5,cg20,0.6583156717151848,0.8125718140897926,0.20160347539404605,0.24271844660194175,0.6367938753740744,0.30532273535454446,20.0
5,diagonal_pcg20,0.9007007948286961,0.967458334651023,0.23628642667539054,0.6796116504854369,0.26811787981644236,0.126525770020886,20.0
5,amg,0.9974183154817251,0.9995888808070587,0.25117068264135356,0.970873786407767,0.05961515484534019,0.08020189892727944,
6,raw,-0.07393120574350905,0.48527877043736756,0.08169066642998289,0.04854368932038835,,,
6,prediction_magnitude,0.6339946512230884,0.8850763732962272,0.2346785575914998,0.4854368932038835,,,
6,boundary_distance,0.6540183100507938,0.8737811370081064,0.23909594303519133,0.5703883495145631,,,
6,ensemble,0.09523214541163007,0.5689784215131295,0.10241482246743144,0.10679611650485436,,,
6,poisson_pcg5,0.9641737447249837,0.9774622350125971,0.26465679853513924,0.7572815533980582,0.22123052540511692,0.18826931916944048,5.0
6,poisson_pcg10,0.9967251649560117,0.999378050451704,0.28543505524599455,0.970873786407767,0.05781971437191949,0.06601017627656168,10.0
6,poisson_pcg20,0.9999655447571705,1.0,0.28618794424897304,1.0,0.0047179844819056505,0.0071116609142475515,20.0
6,poisson_pcg40,0.9999998994170659,1.0,0.28618794424897304,1.0,4.277313947859537e-05,8.318774852206039e-05,40.0
6,poisson_pcg80,1.0,1.0,0.28618794424897304,1.0,3.3756884139790643e-09,7.155334532698218e-09,80.0
6,cg20,0.38408818217581003,0.9095643190706598,0.21156725764228934,0.49514563106796117,0.7343495769076058,0.3114260845244634,20.0
6,diagonal_pcg20,0.7518508377440812,0.9981025268018089,0.2832078923973716,0.9320388349514563,0.39388245292094093,0.15658511359523447,20.0
6,amg,0.9977156833381015,0.9997470035735745,0.2860595607869198,0.970873786407767,0.12712179125958517,0.08753246520433797,
7,raw,0.1318815602424719,0.6495156172585729,0.1362166157566928,0.17475728155339806,,,
7,prediction_magnitude,0.2835027112688649,0.6147918577316762,0.06633960361230257,0.0,,,
7,boundary_distance,0.25365307505280277,0.6101588606727597,0.07612543624503197,0.04082082965578112,,,
7,ensemble,0.22529629497174733,0.6487039203904578,0.14980859662754994,0.27184466019417475,,,
7,poisson_pcg5,0.9233134030112293,0.9892898179479882,0.3228553492943534,0.8932038834951457,0.2279341395665596,0.15344828864599086,5.0
7,poisson_pcg10,0.9944982923252985,0.9983660647460021,0.3257395776078034,0.9805825242718447,0.06496168432945001,0.0432002706037659,10.0
7,poisson_pcg20,0.9999499655782849,0.9999894584822323,0.3259602769184724,0.9902912621359223,0.004711347724367329,0.004833356526327947,20.0
7,poisson_pcg40,0.9999998882411845,1.0,0.3259816169447202,1.0,5.760528599329594e-05,7.764237090828466e-05,40.0
7,poisson_pcg80,1.0,1.0,0.3259816169447202,1.0,7.13320430203977e-09,8.881764139725604e-09,80.0
7,cg20,0.5221485855804305,0.9439612915467569,0.26085993662275303,0.6310679611650486,0.6198966342125408,0.26920618214198705,20.0
7,diagonal_pcg20,0.8502754743044131,0.9901753054404773,0.3159781190219569,0.8058252427184466,0.26900933884309797,0.06927208924755746,20.0
7,amg,0.9983563630999213,0.9999262093756259,0.3258837562352234,0.9902912621359223,0.07532166528810023,0.09046252002101002,
8,raw,0.19148991264930976,0.5768423937678547,0.12139025899527603,0.10679611650485436,,,
8,prediction_magnitude,0.38065015690937704,0.7438516597619725,0.1390448080756163,0.1650485436893204,,,
8,boundary_distance,0.4798502797928053,0.7997375162075836,0.1846177706870289,0.3528243601059135,,,
8,ensemble,0.4377901929404191,0.6784731665665222,0.15344795630806202,0.20388349514563106,,,
8,poisson_pcg5,0.9255053063085614,0.9489685124864278,0.2848995181618015,0.8349514563106796,0.24756795337197535,0.179386864195572,5.0
8,poisson_pcg10,0.9899874494850154,0.9896376880343232,0.2877848222594361,0.9223300970873787,0.09250083442627315,0.06397895855380843,10.0
8,poisson_pcg20,0.9999279602675057,0.9998629602690196,0.28960058600065985,0.9902912621359223,0.00824536401786215,0.008236300106367446,20.0
8,poisson_pcg40,0.9999998882411845,1.0,0.2896735430598576,1.0,7.066463669782505e-05,0.00011889909435437409,40.0
8,poisson_pcg80,1.0,1.0,0.2896735430598576,1.0,8.492900185785237e-09,1.8363087159525637e-08,80.0
8,cg20,0.5087364101280308,0.9198528404119625,0.22797324413201148,0.5145631067961165,0.6621188816235413,0.3357352906504516,20.0
8,diagonal_pcg20,0.7529970920356196,0.9788537153579372,0.26695577681097155,0.7184466019417476,0.41262099087699144,0.18670166040410088,20.0
8,amg,0.9893012391817464,0.9991883031318849,0.2892461318471152,0.9611650485436893,0.0948059554457372,0.09011101607005674,
9,raw,0.01862370136256348,0.5896503378556445,0.11555606371366958,0.13592233009708737,,,
9,prediction_magnitude,0.5242987693119232,0.8038118128248105,0.15034418659862217,0.18446601941747573,,,
9,boundary_distance,0.5749659867686133,0.9231997723032163,0.2712927376532038,0.7120476610767873,,,
9,ensemble,0.3037433503504756,0.7929962155951213,0.19961322388732297,0.3786407766990291,,,
9,poisson_pcg5,0.925518985587583,0.97471089887522,0.2903041440777242,0.912621359223301,0.2270549098121691,0.12242207971184892,5.0
9,poisson_pcg10,0.996758446731278,0.9970694580605716,0.29063769504622716,0.941747572815534,0.05514165259078743,0.039002784789754046,10.0
9,poisson_pcg20,0.9999691433910307,1.0,0.2928597864871027,1.0,0.0037626966928347863,0.0041714145953890775,20.0
9,poisson_pcg40,0.9999999329447105,1.0,0.2928597864871027,1.0,4.75269555344384e-05,6.22799287098918e-05,40.0
9,poisson_pcg80,1.0,1.0,0.2928597864871027,1.0,6.92727683015296e-09,1.0712702267484434e-08,80.0
9,cg20,0.541380266075388,0.9774727765303648,0.27998768348578534,0.8058252427184466,0.5513518844552786,0.2700347835113578,20.0
9,diagonal_pcg20,0.7037719941348973,0.9358443228656061,0.25020746294166285,0.47572815533980584,0.46441646802100894,0.15761350528586227,20.0
9,amg,0.9971166002074242,0.9990618049186721,0.2920804089920857,0.9514563106796117,0.11433700958235397,0.09166263250767302,
10,raw,0.03739116926543166,0.5076689541760223,0.12960643333946234,0.1941747572815534,,,
10,prediction_magnitude,0.5597741019061583,0.8510905200130715,0.16713133770503386,0.2912621359223301,,,
10,boundary_distance,0.4844604109547825,0.8371809873185542,0.2200544142598507,0.48036187113857015,,,
10,ensemble,0.20715679985337243,0.5557382751968628,0.12306003195729637,0.1262135922330097,,,
10,poisson_pcg5,0.960609152599957,0.9850099617342905,0.2816531997733273,0.8543689320388349,0.1851723760789386,0.1811514286781145,5.0
10,poisson_pcg10,0.9979124570846147,0.9994412995583104,0.2849510168065574,0.9611650485436893,0.04233244547643141,0.05041878257833535,10.0
10,poisson_pcg20,0.9999905116765611,1.0,0.28521759931871293,1.0,0.002898195070803697,0.004750131863924704,20.0
10,poisson_pcg40,0.9999999664723552,1.0,0.28521759931871293,1.0,3.53805620954985e-05,6.626300291907782e-05,40.0
10,poisson_pcg80,1.0,1.0,0.28521759931871293,1.0,2.515888000911814e-09,5.760392569805549e-09,80.0
10,cg20,0.39049093412488367,0.924680855549582,0.24929212560100386,0.6893203883495146,0.7282322728403465,0.3584924419882831,20.0
10,diagonal_pcg20,0.5025026822115728,0.9544711847611819,0.24992535744468242,0.6019417475728155,0.5815970023803686,0.24184784486864344,20.0
10,amg,0.9984455019311923,0.9994834656293813,0.2849182670311277,0.9611650485436893,0.09707439493497998,0.09935032515648955,
11,raw,0.2577424831020671,0.5612620305071524,0.14825048913492775,0.1650485436893204,,,
11,prediction_magnitude,0.3326430289321221,0.6545650042693147,0.13213735401792126,0.1650485436893204,,,
11,boundary_distance,0.46461114037433143,0.793243941262663,0.1523742792626561,0.18336275375110322,,,
11,ensemble,0.12577710374794362,0.5723938732698733,0.07418000270489843,0.0970873786407767,,,
11,poisson_pcg5,0.9741530134647021,0.9966372558320947,0.2880161276303664,0.9029126213592233,0.10079225728948207,0.12263918722433566,5.0
11,poisson_pcg10,0.998454543219369,0.9999789169644645,0.2896785130072936,0.9902912621359223,0.0288964102649489,0.03041532303594668,10.0
11,poisson_pcg20,0.9999850913740075,1.0,0.2896818818169042,1.0,0.0023467086627486445,0.003836874885698349,20.0
11,poisson_pcg40,0.9999999329447105,1.0,0.2896818818169042,1.0,2.220222223807462e-05,5.3942691880863494e-05,40.0
11,poisson_pcg80,1.0,1.0,0.2896818818169042,1.0,4.20329838356115e-09,8.955643964258096e-09,80.0
