sample,method,spearman,auroc,error_capture_top10,top10_overlap,corrected_prediction_relative_l2,relative_l2_correction_error,iterations_executed
30,amg,0.9958505181138687,0.9999051263400904,0.3415242059423132,0.9902912621359223,0.011288674284725797,0.12746476620271488,
31,raw,0.19042896386166938,0.7516629244278591,0.22070483616250905,0.3300970873786408,,,
31,prediction_magnitude,0.5911250312924683,0.7579562105351929,0.1538294827364084,0.009708737864077669,,,
31,ensemble,0.692186371235963,0.923985115376912,0.37549382134305453,0.7281553398058253,,,
31,cg20,0.3143858070774622,0.7634905073632502,0.2974813398200348,0.3786407766990291,0.05447670118149423,0.8965709351474644,20.0
31,diagonal_pcg20,0.6653408420356197,0.8345614201532736,0.3436082141134344,0.5631067961165048,0.048484987484663136,0.7979600384559336,20.0
31,poisson_pcg20,0.9999792799155998,1.0,0.4236646670993649,1.0,0.0001680180885689371,0.0027652213060418204,20.0
31,amg,0.6706076103283026,0.8392523955599127,0.34603834393859423,0.5631067961165048,0.04887882872142419,0.8044418297223703,
32,raw,0.24176985730634432,0.7219147612873301,0.2321106455035142,0.30097087378640774,,,
32,prediction_magnitude,0.2794921120627995,0.5623161822839252,0.07773007595936011,0.0,,,
32,ensemble,0.44313870163078456,0.8653004859639691,0.33132860237361994,0.5436893203883495,,,
32,cg20,0.3826994559580859,0.7813900045328527,0.2959815609662276,0.4077669902912621,0.042033471506242134,0.8493102542693338,20.0
32,diagonal_pcg20,0.5864199851584293,0.639195471363967,0.24763566634441747,0.34951456310679613,0.04523628411522348,0.9140249088965877,20.0
32,poisson_pcg20,0.9999024569058006,0.9999894584822323,0.44886036148164216,0.9902912621359223,0.0002575725898513532,0.005204401015199925,20.0
32,amg,0.7867171630248193,0.8388729009202746,0.368510662630922,0.5825242718446602,0.030985036314156406,0.6260703227096698,
33,raw,0.3946383931764537,0.850837523586646,0.30308873665384767,0.5533980582524272,,,
33,prediction_magnitude,0.29054120324011157,0.38167673381613487,0.1176449796478114,0.0,,,
33,ensemble,0.6639122402725126,0.8536942749017004,0.24220408089277734,0.2912621359223301,,,
33,cg20,0.39857858432873183,0.8935833781347838,0.34187160736717453,0.6504854368932039,0.0818168136797343,0.7615984707820993,20.0
33,diagonal_pcg20,0.6226500809133824,0.9961101799437083,0.39190978434035634,0.883495145631068,0.042701747241237854,0.39749269051168074,20.0
33,poisson_pcg20,0.9999999776482369,1.0,0.3961758586291577,1.0,2.8695206849279397e-06,2.6711166901138335e-05,20.0
33,amg,0.957713470513554,0.9997364620558068,0.39608973974966016,0.9805825242718447,0.007582945743824073,0.07058646777820592,
34,raw,0.3444448269079465,0.8347511674730927,0.18296042595520318,0.32038834951456313,,,
34,prediction_magnitude,0.40723697562763755,0.8642779587404995,0.2728771765987341,0.6116504854368932,,,
34,ensemble,0.5153330524461769,0.7085481167578508,0.1868655105257031,0.23300970873786409,,,
34,cg20,0.4007271363815177,0.7970652414534645,0.22810370357377352,0.3883495145631068,0.06307830399582523,0.8784218398556879,20.0
34,diagonal_pcg20,0.3718347891781703,0.5760517799352751,0.10419801756512992,0.08737864077669903,0.06951891067955471,0.9681130524362123,20.0
