sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
167,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,2.8811511472555633e-05,0.5744337599791702,1.949670712084547e-08,4.306677984784639e-07,8.333562580231676e-15,4.902367797600146e-13,0,0,0,0,0.0,0.0,0
168,20,20,20,baseline,1.0,100.0,0.841796875,False,0.32038834951456313,33,829,0.3527297139489448,0.5159781075820623,3.2840334488173606e-05,0.0005733253385071393,6.170151492085482e-15,4.728020754044733e-13,0,0,0,0,0.0,0.0,0
168,20,20,20,equilibrated_flux,1.0,100.0,0.927734375,False,0.6310679611650486,65,885,0.18200081029133874,0.5159781075820623,3.2840334488173606e-05,0.0005733253385071393,6.170151492085482e-15,4.728020754044733e-13,0,0,0,0,0.0,0.0,0
168,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.098128491784279e-05,0.5173644198884475,2.3895949033475955e-09,4.171745900659412e-08,6.170151492085482e-15,4.728020754044733e-13,0,0,0,0,0.0,0.0,0
168,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,5.681326101149494e-06,0.5173644198884475,2.3895949033475955e-09,4.171745900659412e-08,6.170151492085482e-15,4.728020754044733e-13,0,0,0,0,0.0,0.0,0
169,20,20,20,baseline,1.0,100.0,0.9345703125,False,0.6796116504854369,70,887,0.10491950464133981,0.6913813123799482,2.5942488329105268e-05,0.001494161399351714,8.277375621135606e-15,2.2100336505248832e-13,0,0,0,0,0.0,0.0,0
169,20,20,20,equilibrated_flux,1.0,100.0,0.9609375,False,0.7766990291262136,80,904,0.07253938481318357,0.6913813123799482,2.5942488329105268e-05,0.001494161399351714,8.277375621135606e-15,2.2100336505248832e-13,0,0,0,0,0.0,0.0,0
169,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.1332551686817099e-05,0.36615117082293774,5.057055843991183e-10,2.9126186912554098e-08,8.277375621135606e-15,2.2100336505248832e-13,0,0,0,0,0.0,0.0,0
169,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,4.14942706853954e-06,0.36615117082293774,5.057055843991183e-10,2.9126186912554098e-08,8.277375621135606e-15,2.2100336505248832e-13,0,0,0,0,0.0,0.0,0
170,20,20,20,baseline,1.0,100.0,0.994140625,False,0.970873786407767,100,918,0.02149800348985186,0.6123600362013621,5.423478306577152e-06,0.00024380741314965437,5.1718631824741934e-14,4.0132910235407883e-13,0,0,0,0,0.0,0.0,0
